25000000,1,,,,,3.14173
25000000,2,2.57627,0.00001,2.22304,0.93104,6.2137
25000000,5,0.85412,0.00001,2.69213,0.42431,4.47011
25000000,10,0.51132,0.00003,2.92929,0.31139,4.48914
25000000,20,0.26423,0.00009,2.97987,0.18267,4.1751
25000000,40,0.15839,0.00025,1.95424,0.14011,2.81692
25000000,50,0.13049,0.00057,2.04264,0.18703,2.97613
25000000,80,0.08657,0.00149,1.87446,0.13283,2.62952
50000000,1,,,,,6.5978
50000000,2,2.74889,0.00002,4.54695,1.24859,9.13033
50000000,5,1.00376,0.00002,4.3766,0.65901,6.94732
50000000,10,0.91189,0.00866,4.80002,0.63153,7.40242
50000000,20,0.51873,0.00018,3.87995,0.29004,5.73918
50000000,40,0.31946,0.00036,3.40273,0.28532,5.09978
50000000,50,0.29681,0.00065,3.30577,0.29967,4.82395
50000000,80,0.21126,0.00172,3.62254,0.28296,5.1895
100000000,1,,,,,9.89572
100000000,2,6.81773,0.00006,10.5314,3.67834,22.2434
100000000,5,2.53756,0.00003,10.5594,1.92409,16.993
100000000,10,1.66518,0.00006,9.22306,1.24581,14.2302
100000000,20,0.91109,0.0001,6.82863,0.61007,11.4529
100000000,40,0.60064,0.00051,6.38348,0.64747,10.0593
100000000,50,0.58256,0.00555,6.50997,0.51832,10.0533
100000000,80,0.39258,0.00163,6.48237,0.58389,10.4984
