25000000,1,,,,,3.23457
25000000,2,2.38707,0.00002,0.45096,3.05984,6.18413
25000000,5,2.34191,0.00003,0.90844,0.80002,4.51284
25000000,10,2.32493,0.00002,1.13306,0.81522,4.75471
25000000,20,2.32817,0.00005,1.89831,0.78976,5.50506
25000000,40,2.3309,0.00021,3.48517,0.81475,7.11247
25000000,50,2.30519,0.00028,4.25442,0.82309,7.80459
25000000,80,2.26842,0.00063,6.61413,0.86149,10.2182
50000000,1,,,,,4.93581
50000000,2,4.84494,0.00001,0.89018,6.09349,12.3922
50000000,5,4.76704,0.00002,2.05248,1.85138,9.57476
50000000,10,4.68336,0.00002,3.80835,2.78211,12.3203
50000000,20,4.65744,0.00005,3.86643,1.54867,11.0589
50000000,40,4.66989,0.00016,6.96318,1.52858,14.1516
50000000,50,4.65949,0.00025,8.50249,1.53284,15.5782
50000000,80,4.62795,0.00096,13.2147,1.57913,20.4109
100000000,1,,,,,9.92001
100000000,2,9.80062,0.00001,1.7791,13.5519,26.2731
100000000,5,10.3065,0.0001,4.38529,4.26053,20.7864
100000000,10,10.4854,0.00003,8.2308,4.26046,25.0362
100000000,20,9.38792,0.00005,13.0704,3.62282,28.0288
100000000,40,10.0176,0.00015,20.4501,2.98521,35.4132
100000000,50,9.38296,0.00024,16.9407,2.98181,31.053
100000000,80,9.35312,0.00058,27.4626,3.15217,42.0146
